model,price,miles,listing_type,year
EX,25955,19416 ,Used,2020
LX,22955,21966 ,Used,2020
EX,27955,22803 ,Certified,2022
EX,19995,79479 ,Used,2020
Sport,26995,32995 ,Used,2020
LX,25955,29637 ,Used,2022
LX,22955,37098 ,Used,2020
Sport,30177,13652 ,Used,2022
Sport,24955,18403 ,Certified,2019
Sport,28955,6026 ,Certified,2022
EX,19322,43504 ,Used,2018
EX-L,23388,49560 ,Used,2018
Sport,24491,15139 ,Used,2020
EX-L,13995,105221 ,Used,2012
LX,19802,16246 ,Used,2016
Sport,26987,17429 ,Used,2021
Si,18999,82926 ,Used,2015
LX,26999,13765 ,Used,2019
Sport,23500,32333 ,Used,2020
LX,24400,19464 ,Used,2019
Sport,25988,35543 ,Used,2019
Sport,29988,16521 ,Used,2022
Si,25890,51505 ,Used,2018
Sport,24998,45464 ,Used,2019
EX,20400,56000 ,Used,2019
EX,7690,154242 ,Used,2006
EX-T,17993,64696 ,Used,2017
Si,25000,27528 ,Certified,2019
Sport,24988,41488 ,Certified,2019
Sport,25988,26879 ,Certified,2019
Touring,23888,16781 ,Certified,2018
Sport,26995,19449 ,Used,2020
Sport,25995,15046 ,Used,2021
LX,9998,109847 ,Used,2013
LX,13995,93493 ,Used,2015
LX,23995,41308 ,Used,2020
EX,19114,89936 ,Used,2017
EX,25888,19585 ,Certified,2021
Touring,34888,6521 ,Certified,2022
EX,24888,34138 ,Certified,2019
LX,21988,37020 ,Certified,2020
Sport,26993,26335 ,Used,2021
Sport,22886,36935 ,Used,2019
Sport,24873,26208 ,Used,2020
Sport,23988,20811 ,Used,2019
EX,26961,13459 ,Used,2021
EX,16500,132196 ,Used,2017
EX,25988,27489 ,Used,2020
LX,22988,57510 ,Used,2019
LX,22855,21407 ,Used,2019
LX,24888,27174 ,Used,2020
EX-L,18988,81890 ,Used,2014
EX,26800,12614 ,Used,2022
Sport,24609,40138 ,Used,2021
EX,15909,71308 ,Used,2016
LX,17998,40784 ,Used,2017
Sport,23400,54642 ,Used,2019
EX,23000,34241 ,Used,2019
LX,14000,126700 ,Used,2017
LX,10000,150000 ,Used,2014
EX,27777,15468 ,Used,2021
EX-L,18777,64506 ,Used,2018
EX,25888,36729 ,Used,2019
EX-L,23188,10311 ,Used,2017
EX-T,24998,39738 ,Used,2018
LX,14900,87036 ,Used,2015
LX,20849,79982 ,Used,2019
Sport,22888,53012 ,Used,2020
Sport,18888,93311 ,Used,2019
EX,25888,9765 ,Used,2021
LX,22888,30268 ,Used,2020
Si,23554,99212 ,Used,2018
Sport,22354,43403 ,Used,2019
LX,19354,42657 ,Used,2019
LX,18354,87722 ,Used,2018
Sport,19888,78316 ,Used,2018
Sport,21888,47552 ,Used,2019
Sport,19888,80804 ,Used,2019
LX,20888,47794 ,Used,2019
Sport,24888,42615 ,Used,2021
LX,20354,44092 ,Used,2019
Sport,25888,19498 ,Certified,2022
Sport,24888,42539 ,Certified,2021
LX,21888,43734 ,Certified,2020
Type R,41888,31258 ,Certified,2021
LX,22488,11266 ,Used,2021
Sport,22774,50266 ,Certified,2020
Sport,22888,47573 ,Certified,2020
LX,21888,28887 ,Certified,2020
LX,21888,32394 ,Certified,2020
Sport,24888,44415 ,Certified,2021
Sport,23888,34861 ,Certified,2021
EX,25888,32131 ,Used,2020
Touring,21888,13153 ,Used,2017
Sport,22446,57894 ,Used,2019
Sport,27231,15708 ,Used,2022
EX,19943,55096 ,Used,2017
Si,25999,47255 ,Used,2018
Si,25999,52064 ,Used,2018
EX,28999,40498 ,Used,2021
LX,21999,51570 ,Used,2020
Si,24999,43943 ,Used,2018
Sport,28999,6925 ,Used,2021
Sport,27999,38271 ,Used,2020
Si,27995,48600 ,Used,2018
EX-T,25399,40715 ,Used,2018
Sport,17999,88505 ,Used,2019
LX,9343,134124 ,Used,2012
Touring,21724,12723 ,Used,2016
Sport,23141,49750 ,Used,2020
LX,12751,150363 ,Used,2016
Si,33988,4995 ,Used,2022
EX-L,31201,12509 ,Used,2022
Sport,24064,21601 ,Used,2020
LX,21787,32282 ,Used,2020
Sport,20995,86108 ,Used,2017
EX,22995,49405 ,Used,2017
LX,22995,35055 ,Used,2018
LX-P,22883,26869 ,Used,2018
EX,14488,106538 ,Used,2015
Sport,27995,24681 ,Used,2019
Si,25995,44794 ,Used,2018
EX,22353,39221 ,Used,2018
Si,13999,128923 ,Used,2011
LX,21900,23749 ,Used,2019
EX-L,22995,49280 ,Used,2018
LX,29900,16607 ,Certified,2022
Sport,24300,34616 ,Certified,2018
LX,23700,17535 ,Certified,2020
LX,15900,91299 ,Used,2015
Sport,24900,26914 ,Certified,2020
LX,23900,30601 ,Certified,2020
EX,21500,46513 ,Certified,2018
Sport,25900,27600 ,Certified,2019
LX,27900,17761 ,Certified,2020
Sport,32900,10701 ,Certified,2022
Sport,25900,20470 ,Certified,2021
Sport,24900,35000 ,Certified,2020
Sport,24600,24342 ,Certified,2020
LX,22300,38088 ,Certified,2019
Sport,29500,13812 ,Used,2022
LX,21498,27428 ,Used,2021
LX,15349,106574 ,Used,2018
LX,21092,22933 ,Used,2020
Sport,23995,17720 ,Used,2020
EX,21032,69903 ,Used,2017
EX,8999,137420 ,Used,2007
Si,25160,22312 ,Used,2019
EX,19150,75094 ,Used,2019
LX,18399,48208 ,Used,2018
EX,15595,80923 ,Used,2015
EX,13132,118847 ,Used,2014
LX-S,6642,157999 ,Used,2010
EX,11966,108746 ,Used,2013
Sport,28800,15044 ,Used,2022
LX,20900,42044 ,Used,2019
EX-L,13500,102697 ,Used,2013
Hybrid Sedan,13800,98850 ,Used,2012
EX-T,22500,48458 ,Used,2018
Sport,24977,33610 ,Used,2020
Si,25865,60239 ,Used,2018
Sport,25086,68287 ,Used,2019
EX,32638,19913 ,Used,2021
LX,15700,102416 ,Used,2014
LX,16700,39560 ,Used,2015
LX,9400,179753 ,Used,2012
Si,13900,91213 ,Used,2011
LX,24987,14516 ,Used,2021
Sport,25995,33790 ,Used,2020
Si,27488,29243 ,Used,2018
LX-P,20039,31705 ,Used,2016
EX,26469,20693 ,Used,2019
LX,24997,12783 ,Used,2020
LX,20846,64508 ,Used,2017
Si,28697,48871 ,Used,2020
Sport,25297,38862 ,Used,2020
Sport,24697,36636 ,Used,2019
EX,28560,4880 ,Used,2021
EX,24381,45038 ,Used,2018
Sport,26045,36152 ,Used,2020
EX,27178,21498 ,Used,2020
Sport,29995,16995 ,Used,2021
EX-T,23669,67839 ,Used,2018
LX,25344,38167 ,Used,2020
Sport,27615,37533 ,Used,2021
Si,30660,17929 ,Used,2020
Si,26663,50509 ,Used,2018
EX-L,26031,16714 ,Used,2020
Sport,26687,20083 ,Used,2020
EX,26919,36294 ,Certified,2019
Sport,28434,33843 ,Certified,2022
Sport,24186,41056 ,Certified,2020
EX,29968,20782 ,Certified,2022
EX,30291,7804 ,Certified,2021
Sport,27565,8078 ,Certified,2020
EX,26633,32651 ,Certified,2020
LX,21253,44675 ,Used,2019
EX-T,24171,49287 ,Certified,2018
LX,24127,15703 ,Certified,2019
EX-L,26960,25710 ,Certified,2020
EX,27351,26801 ,Certified,2020
Sport,24583,60065 ,Certified,2019
Sport,22987,65682 ,Used,2020
EX,27171,19782 ,Certified,2021
EX,21987,34110 ,Used,2018
Sport,27020,16508 ,Used,2021
EX,24865,21822 ,Used,2018
Sport,21865,60182 ,Used,2020
LX,3400,207864 ,Used,2005
Si,29985,45845 ,Used,2019
LX,21993,26609 ,Used,2019
EX,9995,116907 ,Used,2008
Hybrid Sedan,8793,170220 ,Used,2006
Sport,27993,8619 ,Used,2022
Sport,27994,13519 ,Certified,2022
Sport,23993,20088 ,Certified,2020
Sport,24998,26690 ,Certified,2018
LX,22973,29108 ,Certified,2020
Sport,29995,28873 ,Certified,2020
LX,21983,26395 ,Certified,2019
