model,price,miles,listing_type,year
Sport,28938,13856 ,Used,2021
EX-L,9998,172525 ,Used,2013
Sport,26302,25310 ,Used,2018
LX,20111,96688 ,Used,2020
LX,17828,32183 ,Used,2015
Sport,26998,9307 ,Certified,2022
Sport,23751,12018 ,Used,2019
EX-L,24656,22879 ,Certified,2019
Sport,24451,38749 ,Certified,2019
LX,22498,32096 ,Certified,2020
Si,37991,17 ,Used,2022
LX,20803,72758 ,Used,2020
EX,12822,120623 ,Used,2013
EX-T,22028,34654 ,Used,2016
LX,21940,76124 ,Used,2020
Sport,24309,53074 ,Used,2021
Sport,24922,43618 ,Used,2021
LX,14961,126986 ,Used,2016
Sport,27961,7518 ,Used,2022
Sport,24363,48175 ,Used,2019
Si,27963,29264 ,Used,2019
Sport,29984,4786 ,Certified,2022
Sport,30995,16301 ,Certified,2022
Sport,29988,8986 ,Used,2022
LX,19582,28228 ,Used,2019
EX,24242,74031 ,Used,2020
Sport,26888,16138 ,Used,2022
Si,26988,24854 ,Certified,2019
LX,12501,146016 ,Used,2017
Type R,38880,44552 ,Used,2019
EX,16812,56391 ,Used,2014
Touring,29345,30878 ,Used,2022
Touring,31900,3252 ,Used,2022
Hybrid Sedan,9900,93509 ,Used,2006
Sport Touring,26495,23200 ,Used,2019
LX,22491,17701 ,Used,2020
Sport,22692,47261 ,Used,2020
LX,22492,26902 ,Used,2020
EX,19461,83030 ,Used,2018
LX,22871,16346 ,Used,2020
LX-S,12991,62152 ,Used,2010
LX,23482,10044 ,Used,2021
Sport,24744,54590 ,Used,2020
Sport,25841,17194 ,Used,2021
LX,18992,63455 ,Used,2018
Sport,26536,18924 ,Used,2021
LX,18433,85646 ,Used,2017
LX,9995,87271 ,Used,2008
Sport,22975,44997 ,Used,2018
EX-L,24906,24047 ,Used,2019
LX,19950,38847 ,Used,2018
EX,15999,54101 ,Used,2012
LX,17988,32220 ,Used,2015
EX,27499,10219 ,Used,2022
Sport,28999,3886 ,Used,2022
Sport,27999,8093 ,Used,2022
Sport,28499,9207 ,Used,2022
Sport,27999,6931 ,Used,2022
EX,27999,12550 ,Used,2022
LX,7550,149428 ,Used,2006
Sport,26999,13565 ,Used,2022
LX,22999,21430 ,Used,2021
Sport,24999,15946 ,Used,2018
Sport,28888,79 ,Certified,2022
EX-L,24999,4603 ,Used,2020
