model,price,miles
Used 2015 Honda Civic EX,"15,350","77,593 miles"
Used 2020 Honda Civic LX,"19,995","30,333 miles"
Used 2012 Honda Civic HF,"10,950","102,754 miles"
Used 2016 Honda Civic LX,"17,950","67,043 miles"
Used 2011 Honda Civic LX,"10,950","93,379 miles"
Used 2015 Honda Civic EX-L,"16,950","59,974 miles"
Used 2014 Honda Civic LX,"13,450","97,609 miles"
Used 2019 Honda Civic LX,"19,350","27,191 miles"
Used 2022 Honda Civic Sport,"25,240","9,274 miles"
Used 2022 Honda Civic Sport,"26,999","7,604 miles"
Used 2022 Honda Civic Sport,"28,588","7,941 miles"
Used 2015 Honda Civic LX,"14,288","94,589 miles"
Used 2020 Honda Civic Sport,"27,255","19,773 miles"
Used 2021 Honda Civic Sport,"24,995","29,461 miles"
Used 2006 Honda Civic LX,"8,498","73,032 miles"
Used 2015 Honda Civic LX,"14,995","64,985 miles"
Used 2007 Honda Civic Hybrid Sedan,"5,499","185,895 miles"
Used 2007 Honda Civic Hybrid Sedan,"7,999","131,214 miles"
Used 2020 Honda Civic LX,"20,497","57,046 miles"
Used 2022 Honda Civic Sport,"28,995","3,324 miles"
Used 2006 Honda Civic LX,"5,998","230,840 miles"
Used 2015 Honda Civic LX,"14,998","91,391 miles"
Used 2017 Honda Civic EX-T,"21,500","40,885 miles"
Used 2015 Honda Civic EX,"18,900","41,167 miles"
Used 2022 Honda Civic Sport,"27,488","20,953 miles"
Used 2021 Honda Civic LX,"23,488","13,651 miles"
Used 2019 Honda Civic Sport,"22,488","24,657 miles"
Used 2018 Honda Civic LX,"19,588","15,734 miles"
Used 2022 Honda Civic EX,"26,999","13,489 miles"
Used 2010 Honda Civic DX-VP,"11,999","44,858 miles"
Used 2020 Honda Civic LX,"24,999","6,500 miles"
Used 2013 Honda Civic EX-L,"15,999","57,026 miles"
Used 2020 Honda Civic EX-L,"24,499","40,299 miles"
Used 2019 Honda Civic LX,"18,781","78,848 miles"
Used 2020 Honda Civic Si,"29,387","19,045 miles"
Used 2020 Honda Civic LX,"21,654","55,245 miles"
Used 2010 Honda Civic GX,"7,995","158,000 miles"
Used 2008 Honda Civic Hybrid Sedan,"6,495","161,000 miles"
Used 2019 Honda Civic Sport,"25,497","19,752 miles"
Used 2015 Honda Civic LX,"15,570","60,000 miles"
Used 2008 Honda Civic EX,"7,499",
Used 2008 Honda Civic Si,"7,499",
Used 2022 Honda Civic EX,"28,900","22,683 miles"
Used 2019 Honda Civic LX,"21,900","37,820 miles"
Used 2016 Honda Civic EX,"21,499","31,927 miles"
Used 2016 Honda Civic EX-T,"20,999","55,380 miles"
Used 2021 Honda Civic Type R Limited Edition,"55,999","10,360 miles"
Used 2015 Honda Civic EX-L,"16,750","80,575 miles"
Used 2016 Honda Civic EX-T,"19,985","53,918 miles"
Used 2022 Honda Civic Sport,"28,500","3,590 miles"
Used 2019 Honda Civic Si,"24,858","87,152 miles"
Used 2020 Honda Civic Sport,"26,985","38,834 miles"
Used 2022 Honda Civic Sport,"27,750","7,455 miles"
Used 2018 Honda Civic EX-L,"23,750","43,380 miles"
Used 2020 Honda Civic Sport,"27,900","33,596 miles"
Used 2020 Honda Civic EX,"26,900","32,601 miles"
Certified 2020 Honda Civic LX,"22,555","28,447 miles"
Used 2020 Honda Civic LX,"23,618","36,893 miles"
Used 2011 Honda Civic LX,"11,499","85,710 miles"
Used 2020 Honda Civic EX,"23,991","32,970 miles"
Used 2016 Honda Civic EX,"19,488","63,076 miles"
Used 2014 Honda Civic EX-L,"17,500","80,497 miles"
Used 2019 Honda Civic EX,"24,800","28,629 miles"
Used 2017 Honda Civic Sport,"22,990","47,280 miles"
Used 2013 Honda Civic HF,"14,990","78,437 miles"
Used 2016 Honda Civic EX-T,"18,882","69,531 miles"
Used 2022 Honda Civic Sport,"27,990","12,602 miles"
Used 2016 Honda Civic Touring,"19,990","76,628 miles"
Used 2020 Honda Civic LX,"21,488","17,415 miles"
Used 2018 Honda Civic EX-T,"23,288","34,962 miles"
Used 2022 Honda Civic Sport,"27,078","7,357 miles"
Certified 2022 Honda Civic LX,"28,945","6,727 miles"
Used 2020 Honda Civic Sport,"23,912","38,115 miles"
Used 2021 Honda Civic Sport,"28,938","13,856 miles"
Used 2013 Honda Civic EX-L,"9,998","172,525 miles"
Used 2018 Honda Civic Sport,"26,302","25,310 miles"
Used 2020 Honda Civic LX,"20,111","96,688 miles"
Used 2015 Honda Civic LX,"17,828","32,183 miles"
Certified 2022 Honda Civic Sport,"26,998","9,307 miles"
Used 2019 Honda Civic Sport,"23,751","12,018 miles"
Certified 2019 Honda Civic EX-L,"24,656","22,879 miles"
Certified 2019 Honda Civic Sport,"24,451","38,749 miles"
Certified 2020 Honda Civic LX,"22,498","32,096 miles"
Used 2022 Honda Civic Si,"37,991",17 miles
Used 2020 Honda Civic LX,"20,803","72,758 miles"
Used 2013 Honda Civic EX,"12,822","120,623 miles"
Used 2016 Honda Civic EX-T,"22,028","34,654 miles"
Used 2020 Honda Civic LX,"21,940","76,124 miles"
Used 2021 Honda Civic Sport,"24,309","53,074 miles"
Used 2021 Honda Civic Sport,"24,922","43,618 miles"
Used 2016 Honda Civic LX,"14,961","126,986 miles"
Used 2022 Honda Civic Sport,"27,961","7,518 miles"
