model,price,miles
Used 2011 Honda Civic Si,"14,999","100,664 miles"
Used 2021 Honda Civic Sport,"29,487","6,313 miles"
Used 2019 Honda Civic Type R,"39,582","29,495 miles"
Used 2015 Honda Civic EX-L,"13,998","111,813 miles"
Used 2019 Honda Civic LX,"20,798","60,407 miles"
Used 2022 Honda Civic Sport,"27,988","15,250 miles"
Used 2017 Honda Civic LX,"16,988","88,830 miles"
Used 2019 Honda Civic EX-L,"24,588","30,019 miles"
Used 2020 Honda Civic LX,"22,988","38,906 miles"
Used 2016 Honda Civic EX,"20,888","45,372 miles"
Used 2016 Honda Civic EX-T,"23,988","38,991 miles"
Used 2020 Honda Civic Sport,"23,988","44,135 miles"
Used 2019 Honda Civic LX,"17,900","67,575 miles"
Used 2020 Honda Civic Sport,"26,660","32,629 miles"
Used 2014 Honda Civic LX,"17,000","52,973 miles"
Used 2015 Honda Civic LX,"15,995","60,753 miles"
Used 2017 Honda Civic LX,"15,900","122,875 miles"
Used 2018 Honda Civic EX-L,"21,800","68,295 miles"
Used 2016 Honda Civic LX,"19,900","54,101 miles"
Used 2013 Honda Civic EX-L,"14,888","71,008 miles"
Used 2021 Honda Civic EX,"26,888","7,570 miles"
Used 2016 Honda Civic LX,"18,995","76,797 miles"
Used 2015 Honda Civic SE,"15,995","87,204 miles"
Used 2019 Honda Civic Sport,"26,998","22,836 miles"
Used 2016 Honda Civic LX-P,"22,995","45,409 miles"
Used 2019 Honda Civic Sport,"25,995","66,455 miles"
Certified 2021 Honda Civic Sport,"29,998","32,473 miles"
Used 2020 Honda Civic Sport,"24,995","37,225 miles"
Certified 2020 Honda Civic Sport,"28,998","8,766 miles"
Used 2019 Honda Civic LX,"25,998","12,664 miles"
Certified 2021 Honda Civic Sport,"29,998","7,287 miles"
Certified 2020 Honda Civic EX,"27,998","25,718 miles"
Certified 2022 Honda Civic LX,"29,998","3,991 miles"
Certified 2022 Honda Civic LX,"29,995","27,346 miles"
Used 2016 Honda Civic EX-T,"20,999",
Used 2001 Honda Civic EX,"3,999","218,500 miles"
Certified 2017 Honda Civic LX-P,"18,978","41,122 miles"
Certified 2019 Honda Civic Sport,"27,998","48,836 miles"
Certified 2022 Honda Civic LX,"29,995","27,346 miles"
Certified 2020 Honda Civic EX,"28,995","14,185 miles"
Used 2018 Honda Civic Sport,"25,998","60,936 miles"
Certified 2021 Honda Civic Sport,"31,995","7,127 miles"
Used 2017 Honda Civic LX,"17,140","90,720 miles"
Used 2021 Honda Civic EX,"29,998","22,879 miles"
Used 2017 Honda Civic EX,"25,595","72,490 miles"
Used 2019 Honda Civic Sport,"23,400","48,149 miles"
Used 2019 Honda Civic Sport,"23,488","49,410 miles"
Used 2005 Honda Civic EX,"4,799","192,627 miles"
Used 2005 Honda Civic VP,"3,999","214,124 miles"
Used 2006 Honda Civic EX,"6,999","178,875 miles"
Used 2020 Honda Civic LX,"31,995","13,199 miles"
Used 2022 Honda Civic EX,"34,995","8,974 miles"
Used 2015 Honda Civic EX,"11,999","135,141 miles"
Used 2016 Honda Civic LX,"16,995","64,000 miles"
Used 2010 Honda Civic LX,"8,995","134,000 miles"
Used 2002 Honda Civic Si,"9,000","92,000 miles"
Used 2022 Honda Civic Sport,"26,985","11,428 miles"
Used 2019 Honda Civic LX,"24,254","5,196 miles"
Used 2020 Honda Civic Sport,"25,288","33,262 miles"
Used 2017 Honda Civic Si,"28,888","25,389 miles"
Used 2019 Honda Civic Sport,"23,033","43,659 miles"
Used 2016 Honda Civic EX-T,"19,988","76,312 miles"
Used 2016 Honda Civic EX,"17,777","94,666 miles"
Used 2021 Honda Civic Sport,"27,779","10,135 miles"
Used 2020 Honda Civic EX,"28,588","5,029 miles"
Used 2021 Honda Civic Type R,"41,988","29,792 miles"
Used 2018 Honda Civic EX,"22,999","74,206 miles"
Used 2022 Honda Civic Si,"34,988","4,670 miles"
Used 2020 Honda Civic Sport,"26,999","26,214 miles"
Used 2018 Honda Civic Sport,"26,688","28,157 miles"
Used 2018 Honda Civic EX,"26,288","26,240 miles"
Used 2020 Honda Civic EX-L,"25,769","18,997 miles"
Used 2022 Honda Civic Sport,"26,999","14,228 miles"
Used 2019 Honda Civic EX,"25,699","24,313 miles"
Used 2020 Honda Civic LX,"23,999","30,760 miles"
Used 2020 Honda Civic Sport,"26,629","24,574 miles"
Used 2020 Honda Civic LX,"21,988","33,880 miles"
Used 2020 Honda Civic LX,"24,999","24,015 miles"
Used 2020 Honda Civic EX,"27,999","41,035 miles"
Used 2021 Honda Civic Sport,"27,390","16,940 miles"
Used 2020 Honda Civic LX,"22,999","54,535 miles"
Used 2021 Honda Civic LX,"25,999","10,720 miles"
Used 2018 Honda Civic Sport,"22,999","71,200 miles"
Used 2019 Honda Civic LX,"21,999","22,379 miles"
Used 2018 Honda Civic EX-T,"18,988","46,802 miles"
Used 2019 Honda Civic Sport,"25,488","12,787 miles"
Used 2015 Honda Civic LX,"15,816","70,860 miles"
Used 2018 Honda Civic Si,"23,800","56,550 miles"
Used 2019 Honda Civic Sport,"22,000","42,478 miles"
Used 2019 Honda Civic LX,"22,200","16,388 miles"
Used 2020 Honda Civic LX,"23,899","16,998 miles"
Used 2022 Honda Civic Sport,"26,000","20,149 miles"
Used 2020 Honda Civic LX,"21,500","39,954 miles"
Used 2015 Honda Civic EX-L,"16,000","98,120 miles"
Used 2016 Honda Civic Touring,"19,887","67,473 miles"
Used 2017 Honda Civic EX-T,"16,500","114,831 miles"
Used 2022 Honda Civic Sport,"26,500","37,439 miles"
Used 2017 Honda Civic Si,"23,000","50,242 miles"
Used 2019 Honda Civic Sport,"22,997","26,119 miles"
Used 2020 Honda Civic LX,"21,997","29,093 miles"
Used 2018 Honda Civic Type R,"39,987","5,759 miles"
Used 2009 Honda Civic EX-L,"8,499","134,690 miles"
Used 2014 Honda Civic LX,"12,999","97,191 miles"
Used 2013 Honda Civic LX,"12,500","94,040 miles"
Used 2003 Honda Civic DX,"3,900","176,198 miles"
Used 2005 Honda Civic VP,"4,350","143,710 miles"
Used 2001 Honda Civic LX,"5,300","131,950 miles"
Used 2001 Honda Civic LX,"6,999","146,600 miles"
Used 2002 Honda Civic LX,"5,950","158,048 miles"
Used 2018 Honda Civic LX,"20,999","20,870 miles"
Used 2018 Honda Civic EX,"24,499","28,321 miles"
Used 2021 Honda Civic Sport,"27,499","7,593 miles"
Used 2022 Honda Civic Touring,"31,800","10,110 miles"
Used 2016 Honda Civic Touring,"12,995","173,020 miles"
Used 2017 Honda Civic EX-T,"18,996","88,499 miles"
Used 2019 Honda Civic EX,"24,999","15,839 miles"
Used 2019 Honda Civic LX,"22,995","22,046 miles"
Used 2007 Honda Civic EX,"8,750","145,086 miles"
Used 2022 Honda Civic Si,"29,999","25,913 miles"
Used 2022 Honda Civic EX,"25,929","20,353 miles"
Used 2019 Honda Civic Sport,"21,904","58,421 miles"
Used 2020 Honda Civic Sport,"24,166","50,813 miles"
Used 2018 Honda Civic EX-T,"22,411","64,558 miles"
Used 2016 Honda Civic LX,"14,771","125,204 miles"
Used 2018 Honda Civic Sport,"22,882","53,569 miles"
Used 2018 Honda Civic LX,"22,897","30,420 miles"
Used 2020 Honda Civic LX,"22,858","61,112 miles"
Used 2016 Honda Civic EX-T,"21,743","46,828 miles"
Used 2012 Honda Civic LX,"9,552","160,365 miles"
Used 2013 Honda Civic LX,"10,997","140,700 miles"
Used 2019 Honda Civic EX,"21,717","51,953 miles"
Used 2017 Honda Civic EX-T,"20,777","27,572 miles"
Used 2018 Honda Civic Sport Touring,"23,088","61,501 miles"
Used 2020 Honda Civic Sport,"26,388","19,960 miles"
Used 2015 Honda Civic LX,"13,441","100,647 miles"
Used 2018 Honda Civic EX,"14,977","134,131 miles"
Used 2016 Honda Civic EX-T,"16,995","93,065 miles"
Used 2012 Honda Civic Si,"16,977","103,444 miles"
Used 2016 Honda Civic EX-T,"20,999",
Used 2017 Honda Civic Touring,"21,998","13,921 miles"
Used 2014 Honda Civic Hybrid Sedan,"16,000","73,530 miles"
Used 2017 Honda Civic EX,"22,917","46,106 miles"
Used 2016 Honda Civic EX,"17,997","60,000 miles"
Used 2016 Honda Civic EX-T,"15,998","118,000 miles"
Used 2017 Honda Civic EX,"19,780","52,955 miles"
Used 2019 Honda Civic Sport,"21,500","104,577 miles"
Used 2016 Honda Civic LX,"18,795","28,615 miles"
Used 2012 Honda Civic Hybrid Sedan,"11,980","116,961 miles"
Used 2018 Honda Civic LX,"15,980","121,325 miles"
Used 2017 Honda Civic LX,"17,500","77,233 miles"
Used 2008 Honda Civic Si,"12,300","120,026 miles"
Used 2013 Honda Civic LX,"11,480","122,039 miles"
Used 2015 Honda Civic EX-L,"14,300","119,537 miles"
Used 2016 Honda Civic EX-L,"15,300","140,829 miles"
Used 2015 Honda Civic LX,"13,999","99,466 miles"
Used 2014 Honda Civic LX,"10,995","139,765 miles"
Used 2021 Honda Civic Sport,"27,371","8,670 miles"
Used 2018 Honda Civic Sport Touring,"23,995","71,217 miles"
Used 2013 Honda Civic Si,"12,998","164,970 miles"
Used 2018 Honda Civic Si,"27,998","33,654 miles"
Used 2012 Honda Civic EX,"11,998","116,218 miles"
Used 2017 Honda Civic EX-T,"17,998","95,068 miles"
Used 2007 Honda Civic EX,"9,495","121,563 miles"
Used 2016 Honda Civic LX,"16,995","61,738 miles"
Used 2006 Honda Civic Si,"9,995","138,440 miles"
Used 2016 Honda Civic EX,"17,777","88,839 miles"
Used 2018 Honda Civic Sport,"24,999","20,007 miles"
Used 2007 Honda Civic LX,"6,900","125,791 miles"
Used 2019 Honda Civic Sport,"19,900","41,690 miles"
Used 2019 Honda Civic LX,"15,955","100,675 miles"
Used 2013 Honda Civic LX,"12,988","114,200 miles"
Used 2018 Honda Civic Si,"23,499","79,975 miles"
Used 2017 Honda Civic EX-T,"18,488","78,370 miles"
Certified 2020 Honda Civic Sport,"26,797","51,061 miles"
Certified 2020 Honda Civic EX,"23,797","43,366 miles"
Certified 2018 Honda Civic EX,"28,705","30,397 miles"
Certified 2020 Honda Civic EX,"23,597","63,913 miles"
Used 2020 Honda Civic Sport,"19,995","80,916 miles"
Used 2020 Honda Civic EX,"25,742","35,792 miles"
Used 2020 Honda Civic EX,"23,498","48,585 miles"
Used 2020 Honda Civic EX,"24,398","37,295 miles"
Used 2020 Honda Civic LX,"22,699","48,841 miles"
Used 2020 Honda Civic EX,"23,999","36,339 miles"
Used 2014 Honda Civic EX,"17,899","45,645 miles"
Used 2019 Honda Civic Sport,"26,899","7,102 miles"
Used 2022 Honda Civic LX,"27,500","16,990 miles"
Used 2021 Honda Civic EX,"25,790","18,682 miles"
Used 2012 Honda Civic LX,"10,988","126,999 miles"
Used 2019 Honda Civic LX,"20,987","59,399 miles"
Used 2018 Honda Civic LX,,"62,187 miles"
Used 2019 Honda Civic Sport,"22,860","47,466 miles"
Used 2018 Honda Civic EX,"20,499","61,388 miles"
Used 2019 Honda Civic Sport,"23,985","58,797 miles"
Used 2020 Honda Civic LX,"18,985","22,425 miles"
Used 2021 Honda Civic Sport,"23,985","31,155 miles"
Used 2019 Honda Civic EX-L,"19,985","32,780 miles"
Used 2013 Honda Civic LX,"14,985","48,239 miles"
Used 2018 Honda Civic EX,"17,985","42,589 miles"
Used 2019 Honda Civic EX,"18,985","53,235 miles"
Used 2018 Honda Civic EX,"17,985","36,981 miles"
Used 2019 Honda Civic LX,"21,985","31,383 miles"
Used 2019 Honda Civic Sport,"21,985","31,000 miles"
Used 2016 Honda Civic EX-T,"13,985","96,832 miles"
Used 2019 Honda Civic LX,"22,985","36,311 miles"
Used 2020 Honda Civic EX,"24,985","40,170 miles"
Used 2010 Honda Civic EX,"11,991","113,046 miles"
Used 2009 Honda Civic LX,"10,991","104,242 miles"
Used 2019 Honda Civic EX,"22,991","98,160 miles"
Used 2012 Honda Civic Natural Gas,"11,991","107,722 miles"
Used 2013 Honda Civic EX,,"104,000 miles"
Used 2008 Honda Civic LX,"7,995","135,237 miles"
Used 2009 Honda Civic EX-L,"7,499","136,660 miles"
Used 2012 Honda Civic LX,"9,995","149,989 miles"
Used 2018 Honda Civic LX-P,"17,995","104,000 miles"
Used 2005 Honda Civic Hybrid Sedan,"5,500","153,928 miles"
Used 2011 Honda Civic EX,"7,995","106,640 miles"
Used 2015 Honda Civic EX,"17,725","83,978 miles"
Used 2022 Honda Civic Sport,"29,988","20,424 miles"
Used 2019 Honda Civic Sport,"24,199","40,587 miles"
Used 2018 Honda Civic EX-T,"26,998","19,805 miles"
Used 2021 Honda Civic LX,"21,320","49,200 miles"
Used 2020 Honda Civic Si,"25,998","65,090 miles"
Used 2013 Honda Civic Si,"15,199","94,908 miles"
Used 2018 Honda Civic EX,"19,983","77,230 miles"
Used 2017 Honda Civic EX-T,"19,398","52,010 miles"
Used 2012 Honda Civic Si,"14,199","115,501 miles"
Used 2014 Honda Civic EX-L,"19,390","68,448 miles"
Used 2020 Honda Civic LX,"23,698","29,324 miles"
Used 2007 Honda Civic LX,,"132,618 miles"
Used 2016 Honda Civic Touring,"17,395","82,542 miles"
Used 2018 Honda Civic EX,"23,999","46,275 miles"
Used 2019 Honda Civic LX,"22,922","32,253 miles"
Used 2014 Honda Civic EX,"17,432","90,108 miles"
Used 2013 Honda Civic LX,"11,999","109,230 miles"
Used 2013 Honda Civic LX,"13,999","86,598 miles"
Used 2019 Honda Civic EX,"21,995","107,410 miles"
Used 2014 Honda Civic EX,"19,995","95,575 miles"
Used 2020 Honda Civic EX-L,"20,829","106,930 miles"
Certified 2021 Honda Civic LX,"25,998","12,751 miles"
Certified 2020 Honda Civic Sport,"25,987","22,628 miles"
Certified 2022 Honda Civic Sport,"30,787","28,920 miles"
Certified 2020 Honda Civic Sport,"26,802","24,348 miles"
Used 2016 Honda Civic EX-T,"20,999",
Used 2019 Honda Civic LX,"21,751","66,285 miles"
Used 2017 Honda Civic Touring,"19,500","60,672 miles"
Certified 2020 Honda Civic LX,"23,495","25,197 miles"
Certified 2020 Honda Civic Sport,"25,701","27,401 miles"
Certified 2021 Honda Civic EX,"27,998","12,560 miles"
Certified 2020 Honda Civic LX,"24,684","18,935 miles"
Certified 2022 Honda Civic Sport,"30,787","28,920 miles"
Used 2020 Honda Civic LX,"20,566","30,106 miles"
Certified 2021 Honda Civic LX,"25,998","12,751 miles"
Certified 2020 Honda Civic EX,"27,931","34,867 miles"
Certified 2020 Honda Civic Sport,"25,987","22,628 miles"
Used 2018 Honda Civic LX,"20,988","37,789 miles"
Certified 2021 Honda Civic EX,"26,988","19,213 miles"
Certified 2020 Honda Civic Sport,"25,488","47,660 miles"
Certified 2020 Honda Civic LX,"24,988","14,658 miles"
Used 2022 Honda Civic Sport,"28,988","10,778 miles"
Certified 2020 Honda Civic Sport,"26,988","21,892 miles"
Used 2016 Honda Civic Touring,"19,987","70,498 miles"
Used 2022 Honda Civic Sport,"27,681","9,036 miles"
Used 2007 Honda Civic EX,"7,995","143,149 miles"
Used 2009 Honda Civic LX,"8,995","115,922 miles"
Used 2008 Honda Civic LX,"9,495","106,517 miles"
Used 2009 Honda Civic LX-S,"11,995","118,996 miles"
Used 2011 Honda Civic LX,"8,995","117,088 miles"
Used 2012 Honda Civic EX-L,"14,995","64,619 miles"
Used 2008 Honda Civic LX,"11,995","57,869 miles"
Used 2003 Honda Civic LX,"6,995","116,867 miles"
Used 2011 Honda Civic EX,"11,995","112,539 miles"
Used 2013 Honda Civic LX,"14,995","71,659 miles"
Used 2012 Honda Civic EX,"11,995","135,850 miles"
Used 2006 Honda Civic EX,"8,995","95,526 miles"
Used 2008 Honda Civic EX,"8,995","116,157 miles"
Used 2008 Honda Civic EX,"11,995","63,291 miles"
Used 2015 Honda Civic EX,"16,995","81,291 miles"
Used 2007 Honda Civic EX,"11,995","56,486 miles"
Used 2008 Honda Civic EX,"9,995","96,968 miles"
Used 2009 Honda Civic EX,"11,995","71,502 miles"
Used 2018 Honda Civic LX,"18,999","47,930 miles"
Used 2018 Honda Civic LX,"18,999","48,820 miles"
Used 2015 Honda Civic LX,"14,999","85,364 miles"
Used 2018 Honda Civic EX,"20,500","75,104 miles"
Used 2017 Honda Civic LX,"18,995","37,208 miles"
Used 2012 Honda Civic LX,"9,795","122,437 miles"
Used 2020 Honda Civic LX,"22,785","46,605 miles"
Used 2013 Honda Civic EX-L,"18,995","33,806 miles"
Used 2016 Honda Civic LX,"18,995","60,906 miles"
Used 2017 Honda Civic LX,"23,995","33,287 miles"
Used 2012 Honda Civic LX,"14,995","88,268 miles"
Used 2013 Honda Civic EX,"16,995","98,309 miles"
Used 2017 Honda Civic EX-L,"22,995","59,131 miles"
Used 2019 Honda Civic LX,"20,995","67,053 miles"
Used 2011 Honda Civic LX,"10,995","117,166 miles"
Used 2020 Honda Civic LX,"23,995","28,003 miles"
Used 2010 Honda Civic EX,"11,995","91,296 miles"
Used 2022 Honda Civic Sport,"25,995","13,380 miles"
Used 2009 Honda Civic LX,"9,985","91,523 miles"
Used 2022 Honda Civic Sport,"34,998","3,940 miles"
Used 2019 Honda Civic LX,"21,997","41,010 miles"
Used 2019 Honda Civic EX,"21,199","36,869 miles"
Used 2020 Honda Civic LX,"22,189","19,564 miles"
Used 2018 Honda Civic Sport Touring,"24,439","34,594 miles"
Used 2021 Honda Civic Sport,"22,989","39,523 miles"
Used 2019 Honda Civic LX,"20,989","37,230 miles"
Used 2015 Honda Civic EX-L,"14,389","78,652 miles"
Used 2020 Honda Civic Sport,"25,955","41,497 miles"
Used 2022 Honda Civic Sport,"27,955","19,626 miles"
Used 2020 Honda Civic LX,"23,955","17,296 miles"
Used 2020 Honda Civic LX,"23,169","29,092 miles"
Used 2020 Honda Civic Sport,"26,955","21,824 miles"
Used 2019 Honda Civic Sport,"23,955","40,706 miles"
Used 2019 Honda Civic EX-L,"24,995","32,316 miles"
Used 2019 Honda Civic EX,"24,485","35,802 miles"
Used 2020 Honda Civic LX,"22,486","27,452 miles"
Used 2020 Honda Civic LX,"20,955","43,199 miles"
Used 2020 Honda Civic LX,"22,955","29,121 miles"
Used 2020 Honda Civic Sport,"23,795","41,789 miles"
Used 2020 Honda Civic EX,"25,955","19,416 miles"
Used 2020 Honda Civic LX,"22,955","21,966 miles"
Certified 2022 Honda Civic EX,"27,955","22,803 miles"
Used 2020 Honda Civic EX,"19,995","79,479 miles"
Used 2020 Honda Civic Sport,"26,995","32,995 miles"
Used 2022 Honda Civic LX,"25,955","29,637 miles"
Used 2020 Honda Civic LX,"22,955","37,098 miles"
Used 2022 Honda Civic Sport,"30,177","13,652 miles"
Certified 2019 Honda Civic Sport,"24,955","18,403 miles"
Certified 2022 Honda Civic Sport,"28,955","6,026 miles"
Used 2018 Honda Civic EX,"19,322","43,504 miles"
Used 2018 Honda Civic EX-L,"23,388","49,560 miles"
Used 2020 Honda Civic Sport,"24,491","15,139 miles"
Used 2012 Honda Civic EX-L,"13,995","105,221 miles"
Used 2020 Honda Civic EX,,"27,653 miles"
Used 2016 Honda Civic LX,"19,802","16,246 miles"
Used 2021 Honda Civic Sport,"26,987","17,429 miles"
Used 2015 Honda Civic Si,"18,999","82,926 miles"
Used 2019 Honda Civic LX,"26,999","13,765 miles"
Used 2020 Honda Civic Sport,"23,500","32,333 miles"
Used 2019 Honda Civic LX,"24,400","19,464 miles"
Used 2019 Honda Civic Sport,"25,988","35,543 miles"
Used 2022 Honda Civic Sport,"29,988","16,521 miles"
Used 2018 Honda Civic Si,"25,890","51,505 miles"
Used 2019 Honda Civic Sport,"24,998","45,464 miles"
Used 2019 Honda Civic EX,"20,400","56,000 miles"
Used 2006 Honda Civic EX,"7,690","154,242 miles"
Used 2016 Honda Civic EX-T,"20,999",
Used 2017 Honda Civic EX-T,"17,993","64,696 miles"
Certified 2019 Honda Civic Si,"25,000","27,528 miles"
Certified 2019 Honda Civic Sport,"24,988","41,488 miles"
Certified 2019 Honda Civic Sport,"25,988","26,879 miles"
Certified 2018 Honda Civic Touring,"23,888","16,781 miles"
Used 2020 Honda Civic Sport,"26,995","19,449 miles"
Used 2021 Honda Civic Sport,"25,995","15,046 miles"
Used 2013 Honda Civic LX,"9,998","109,847 miles"
Used 2015 Honda Civic LX,"13,995","93,493 miles"
Used 2020 Honda Civic LX,"23,995","41,308 miles"
Used 2017 Honda Civic EX,"19,114","89,936 miles"
Certified 2021 Honda Civic EX,"25,888","19,585 miles"
Certified 2022 Honda Civic Touring,"34,888","6,521 miles"
Certified 2019 Honda Civic EX,"24,888","34,138 miles"
Certified 2020 Honda Civic LX,"21,988","37,020 miles"
Used 2021 Honda Civic Sport,"26,993","26,335 miles"
Used 2019 Honda Civic Sport,"22,886","36,935 miles"
Used 2020 Honda Civic Sport,"24,873","26,208 miles"
Used 2019 Honda Civic Sport,"23,988","20,811 miles"
Used 2021 Honda Civic EX,"26,961","13,459 miles"
Used 2017 Honda Civic EX,"16,500","132,196 miles"
Used 2020 Honda Civic EX,"25,988","27,489 miles"
Used 2019 Honda Civic LX,"22,988","57,510 miles"
Used 2019 Honda Civic LX,"22,855","21,407 miles"
Used 2020 Honda Civic LX,"24,888","27,174 miles"
Used 2014 Honda Civic EX-L,"18,988","81,890 miles"
Used 2022 Honda Civic EX,"26,800","12,614 miles"
Used 2021 Honda Civic Sport,"24,609","40,138 miles"
Used 2016 Honda Civic EX,"15,909","71,308 miles"
Used 2017 Honda Civic LX,"17,998","40,784 miles"
Used 2019 Honda Civic Sport,"23,400","54,642 miles"
Used 2019 Honda Civic EX,"23,000","34,241 miles"
Used 2017 Honda Civic LX,"14,000","126,700 miles"
Used 2014 Honda Civic LX,"10,000","150,000 miles"
Used 2021 Honda Civic EX,"27,777","15,468 miles"
Used 2018 Honda Civic EX-L,"18,777","64,506 miles"
Used 2019 Honda Civic EX,"25,888","36,729 miles"
Used 2017 Honda Civic EX-L,"23,188","10,311 miles"
Used 2018 Honda Civic EX-T,"24,998","39,738 miles"
Used 2015 Honda Civic LX,"14,900","87,036 miles"
Used 2019 Honda Civic LX,"20,849","79,982 miles"
Used 2020 Honda Civic Sport,"22,888","53,012 miles"
Used 2019 Honda Civic Si,,"45,185 miles"
Used 2019 Honda Civic Sport,"18,888","93,311 miles"
Used 2021 Honda Civic EX,"25,888","9,765 miles"
Used 2020 Honda Civic LX,"22,888","30,268 miles"
Used 2018 Honda Civic Si,"23,554","99,212 miles"
Used 2019 Honda Civic Sport,"22,354","43,403 miles"
Used 2019 Honda Civic LX,"19,354","42,657 miles"
Used 2019 Honda Civic EX,,"18,413 miles"
Used 2020 Honda Civic Sport,,"36,285 miles"
Used 2022 Honda Civic Sport,,"34,907 miles"
Used 2014 Honda Civic EX,,"76,912 miles"
Used 2018 Honda Civic LX,"18,354","87,722 miles"
Used 2019 Honda Civic EX,,"31,573 miles"
Used 2018 Honda Civic Sport,"19,888","78,316 miles"
Used 2019 Honda Civic Sport,"21,888","47,552 miles"
Used 2019 Honda Civic Sport,"19,888","80,804 miles"
Used 2016 Honda Civic LX,,"82,175 miles"
Used 2020 Honda Civic LX,,"48,609 miles"
Used 2020 Honda Civic EX,,"23,616 miles"
Used 2019 Honda Civic LX,"20,888","47,794 miles"
Used 2020 Honda Civic Sport,,"29,487 miles"
Used 2021 Honda Civic Sport,"24,888","42,615 miles"
Used 2019 Honda Civic LX,"20,354","44,092 miles"
Certified 2022 Honda Civic Sport,"25,888","19,498 miles"
Certified 2021 Honda Civic Sport,"24,888","42,539 miles"
Certified 2020 Honda Civic LX,"21,888","43,734 miles"
Certified 2021 Honda Civic Type R,"41,888","31,258 miles"
Used 2021 Honda Civic LX,"22,488","11,266 miles"
Certified 2020 Honda Civic Sport,"22,774","50,266 miles"
Certified 2020 Honda Civic Sport,"22,888","47,573 miles"
Certified 2020 Honda Civic LX,"21,888","28,887 miles"
Certified 2020 Honda Civic LX,"21,888","32,394 miles"
Certified 2021 Honda Civic Sport,"24,888","44,415 miles"
Certified 2021 Honda Civic Sport,"23,888","34,861 miles"
Used 2013 Honda Civic EX,,"89,087 miles"
Used 2020 Honda Civic EX,"25,888","32,131 miles"
Used 2017 Honda Civic Touring,"21,888","13,153 miles"
Used 2019 Honda Civic Sport,"22,446","57,894 miles"
Used 2022 Honda Civic Sport,"27,231","15,708 miles"
Used 2017 Honda Civic EX,"19,943","55,096 miles"
Used 2018 Honda Civic Si,"25,999","47,255 miles"
Used 2018 Honda Civic Si,"25,999","52,064 miles"
Used 2021 Honda Civic EX,"28,999","40,498 miles"
Used 2020 Honda Civic LX,"21,999","51,570 miles"
Used 2018 Honda Civic Si,"24,999","43,943 miles"
Used 2021 Honda Civic Sport,"28,999","6,925 miles"
Used 2020 Honda Civic Sport,"27,999","38,271 miles"
Used 2018 Honda Civic Si,"27,995","48,600 miles"
Used 2018 Honda Civic EX-T,"25,399","40,715 miles"
Used 2019 Honda Civic Sport,"17,999","88,505 miles"
Used 2012 Honda Civic LX,"9,343","134,124 miles"
Used 2016 Honda Civic Touring,"21,724","12,723 miles"
Used 2020 Honda Civic Sport,"23,141","49,750 miles"
Used 2016 Honda Civic LX,"12,751","150,363 miles"
Used 2022 Honda Civic Si,"33,988","4,995 miles"
Used 2022 Honda Civic EX-L,"31,201","12,509 miles"
Used 2020 Honda Civic Sport,"24,064","21,601 miles"
Used 2020 Honda Civic LX,"21,787","32,282 miles"
Used 2017 Honda Civic Sport,"20,995","86,108 miles"
Used 2017 Honda Civic EX,"22,995","49,405 miles"
Used 2018 Honda Civic LX,"22,995","35,055 miles"
Used 2016 Honda Civic EX-T,"20,999",
Used 2018 Honda Civic LX-P,"22,883","26,869 miles"
Used 2015 Honda Civic EX,"14,488","106,538 miles"
Used 2019 Honda Civic Sport,"27,995","24,681 miles"
Used 2018 Honda Civic Si,"25,995","44,794 miles"
Used 2018 Honda Civic EX,"22,353","39,221 miles"
Used 2011 Honda Civic Si,"13,999","128,923 miles"
Used 2019 Honda Civic LX,"21,900","23,749 miles"
Used 2018 Honda Civic EX-L,"22,995","49,280 miles"
Certified 2022 Honda Civic LX,"29,900","16,607 miles"
Certified 2018 Honda Civic Sport,"24,300","34,616 miles"
Certified 2020 Honda Civic LX,"23,700","17,535 miles"
Used 2015 Honda Civic LX,"15,900","91,299 miles"
Certified 2020 Honda Civic Sport,"24,900","26,914 miles"
Certified 2020 Honda Civic LX,"23,900","30,601 miles"
Certified 2018 Honda Civic EX,"21,500","46,513 miles"
Certified 2019 Honda Civic Sport,"25,900","27,600 miles"
Certified 2020 Honda Civic LX,"27,900","17,761 miles"
Certified 2022 Honda Civic Sport,"32,900","10,701 miles"
Certified 2021 Honda Civic Sport,"25,900","20,470 miles"
Certified 2020 Honda Civic Sport,"24,900","35,000 miles"
Certified 2020 Honda Civic Sport,"24,600","24,342 miles"
Certified 2019 Honda Civic LX,"22,300","38,088 miles"
Used 2022 Honda Civic Sport,"29,500","13,812 miles"
Used 2021 Honda Civic LX,"21,498","27,428 miles"
Used 2018 Honda Civic LX,"15,349","106,574 miles"
Used 2020 Honda Civic LX,"21,092","22,933 miles"
Used 2020 Honda Civic Sport,"23,995","17,720 miles"
Used 2017 Honda Civic EX,"21,032","69,903 miles"
Used 2007 Honda Civic EX,"8,999","137,420 miles"
Used 2019 Honda Civic Si,"25,160","22,312 miles"
Used 2019 Honda Civic EX,"19,150","75,094 miles"
Used 2018 Honda Civic LX,"18,399","48,208 miles"
Used 2015 Honda Civic EX,"15,595","80,923 miles"
Used 2014 Honda Civic EX,"13,132","118,847 miles"
Used 2010 Honda Civic LX-S,"6,642","157,999 miles"
Used 2013 Honda Civic EX,"11,966","108,746 miles"
Used 2022 Honda Civic Sport,"28,800","15,044 miles"
Used 2019 Honda Civic LX,"20,900","42,044 miles"
Used 2013 Honda Civic EX-L,"13,500","102,697 miles"
